Time	[X_25,1]	[X_25,2]	[X_25,3]	[X_25,4]	[X_25,5]	[X_25,6]	[X_25,7]	[X_25,8]	[X_25,9]	[X_25,10]	[X_25,11]	[X_25,12]	[X_25,13]	[X_25,14]	[X_25,15]	[X_25,16]	[X_25,17]	[X_25,18]	[X_25,19]	[X_25,20]	[X_25,21]	[X_25,22]	[X_25,23]	[X_25,24]	[X_25,25]	[X_25,26]	[X_25,27]	[X_25,28]	[X_25,29]	[X_25,30]	[X_25,31]	[X_25,32]	[X_25,33]	[X_25,34]	[X_25,35]	[X_25,36]	[X_25,37]	[X_25,38]	[X_25,39]	[X_25,40]	[X_25,41]	[X_25,42]	[X_25,43]	[X_25,44]	[X_25,45]	[X_25,46]	[X_25,47]	[X_25,48]	[X_25,49]
713	11.0466	12.2097	13.7522	16.2285	19.1712	22.3281	26.2778	30.1191	29.5201	6.63985	9.59585	12.1717	14.5772	16.7957	19.0448	21.1957	22.9852	24.8846	26.9021	28.5407	30.0704	31.2049	32.6174	34.0681	35.045	34.1641	33.0369	31.2562	30.2683	28.6232	26.7215	24.9033	23.1468	21.1529	19.1318	16.9434	14.5866	12.2009	9.63633	6.66612	30.3002	30.5559	26.4102	23.0857	19.3347	35.8398	33.6476	30.5142	30.1761
713.5	11.6747	12.865	14.4318	16.9978	20.0281	23.2135	27.2336	31.0598	30.3918	8.51884	11.5958	14.3036	16.8409	19.163	21.5475	23.8164	25.6416	27.6189	29.7512	31.4251	32.9742	34.0628	35.5123	37.0508	38.0818	37.1638	36.0167	34.1184	33.2029	31.5122	29.5207	27.6406	25.846	23.7652	21.663	19.3607	16.8543	14.3471	11.6574	8.5517	31.2262	31.5292	27.3631	24.014	20.1676	36.256	33.9771	30.8031	30.4858
714	12.2925	13.51	15.0997	17.755	20.8707	24.0796	28.1724	32.0299	31.4383	10.3848	13.5952	16.4372	19.102	21.5191	24.0362	26.4201	28.2707	30.3214	32.5689	34.2713	35.8323	36.8614	38.3432	39.971	41.0539	40.1026	38.9413	36.9214	36.0946	34.3633	32.2832	30.3464	28.5223	26.3594	24.1834	21.7728	19.1199	16.4973	13.6818	10.4261	32.3287	32.532	28.2985	24.9242	20.985	36.6605	34.2977	31.0845	30.7885
714.5	12.9	14.1449	15.7559	18.5002	21.6996	24.928	29.098	33.0197	32.5607	12.2319	15.582	18.5593	21.3484	23.8532	26.5005	28.9962	30.8617	32.9811	35.3441	37.0676	38.6317	39.5848	41.0923	42.8097	43.9407	42.9619	41.7944	39.6493	38.9309	37.1647	34.9977	33.0096	31.1652	28.925	26.6825	24.1689	21.3715	18.6382	15.6972	12.2831	33.508	33.5546	29.2206	25.818	21.7873	37.0535	34.6094	31.3584	31.0844
715	13.4973	14.7698	16.4006	19.2335	22.5149	25.7599	30.0111	34.0174	33.7143	14.0557	17.5483	20.661	23.5715	26.157	28.9321	31.5367	33.4057	35.5882	38.0666	39.8023	41.3582	42.2145	43.7372	45.5427	46.7151	45.7182	44.5562	42.2835	41.6979	39.9046	37.6534	35.6209	33.766	31.4541	29.1524	26.5407	23.6004	20.7608	17.6958	14.1184	34.7194	34.5856	30.1302	26.6964	22.575	37.4355	34.9124	31.625	31.3733
715.5	14.0846	15.3845	17.0338	19.9549	23.3169	26.5756	30.9109	35.0136	34.8756	15.8533	19.4894	22.7364	25.7652	28.4243	31.3247	34.0344	35.8941	38.1329	40.7256	42.4622	43.9945	44.7254	46.2463	48.134	49.3353	48.3363	47.199	44.799	44.379	42.5696	40.2389	38.1706	36.317	33.9396	31.5868	28.8823	25.8004	22.8592	19.6728	15.9291	35.9396	35.6155	31.0264	27.5601	23.3485	37.807	35.2068	31.8843	31.6553
716	14.6617	15.9894	17.6556	20.6646	24.1058	27.3753	31.7959	36.0012	36.031	17.6228	21.4019	24.7813	27.9247	30.6498	33.6724	36.4827	38.3182	40.6042	43.3085	45.03	46.5165	47.0789	48.5656	50.5185	51.721	50.7532	49.6768	47.1568	46.9507	45.1423	42.7401	40.648	38.8102	36.3749	33.9802	31.1887	27.9669	24.9292	21.6248	17.7132	37.1556	36.6375	31.9078	28.4089	24.1078	38.1684	35.4929	32.1364	31.9305
716.5	15.229	16.5843	18.2661	21.3627	24.8817	28.1588	32.6647	36.975	37.1717	19.3626	23.2835	26.7925	30.0461	32.8287	35.9695	38.8744	40.6678	42.9884	45.7979	47.4811	48.885	49.2023	50.5765	52.5332	53.6375	52.8126	51.8933	49.2833	49.3754	47.5972	45.1384	43.0401	41.2365	38.7531	36.3273	33.4555	30.0961	26.9678	23.5494	19.4692	38.3587	37.6465	32.773	29.2428	24.8533	38.52	35.7708	32.3814	32.1989
717	15.7864	17.1694	18.8654	22.0492	25.6445	28.9257	33.5157	37.9309	38.2919	21.0716	25.1323	28.7673	32.1259	34.9561	38.2098	41.201	42.9295	45.2662	48.1685	49.7738	51.022	50.8977	51.7407	46.3932	0.317734	51.1444	53.4874	50.9775	51.5779	49.8911	47.405	45.3284	43.5842	41.066	38.6223	35.6783	32.1845	28.9723	25.445	21.1959	39.5432	38.6384	33.6203	30.0614	25.5847	38.8619	36.0408	32.6194	32.4607
717.5	16.334	17.7448	19.4536	22.7241	26.3941	29.6758	34.3476	38.8657	39.3868	22.7486	26.9464	30.7031	34.1603	37.0268	40.3857	43.4519	45.0852	47.4083	50.3756	51.8083	51.9356	0.570325	1.71918	2.53193	3.32439	2.4783	1.48062	0.489399	52.7671	51.9207	49.4893	47.4853	45.8377	43.3033	40.8585	37.8525	34.2285	30.9403	27.3098	22.8922	40.7047	39.6103	34.4486	30.8642	26.3022	39.1942	36.3029	32.8506	32.7158
